tiempo,posicion_x_px,posicion_y_px,posicion_x,posicion_y,velocidad_x,velocidad_y,aceleracion_x,aceleracion_y,velocidad_angular,aceleracion_angular
3.599,1740.0,551.5,14.111771757206675,4.472782829942232,1.19,1.67,-13.64,-16.97,3.1064565082339866,-0.23449240315031672
3.633,1745.0,558.5,14.152322825474512,4.529554325517201,0.74,1.11,-7.58,3.64,3.098651117330501,-0.2387953021731648
3.666,1748.0,563.0,14.176653466435214,4.566050286958252,0.49,1.23,-14.41,-29.12,3.0907025429331485,-0.24326973663742202
3.699,1750.0,568.0,14.192873893742348,4.606601355226088,0.0,0.24,7.58,-3.64,3.0826050575840243,-0.24791569427101467
3.733,1750.0,569.0,14.192873893742348,4.614711568879655,0.25,0.12,0.0,-29.7,3.0743529338252262,-0.25273316280186875
3.766,1751.0,569.5,14.200984107395916,4.618766675706438,0.25,-0.86,6.76,0.88,3.0659404441988514,-0.25772212995791033
3.799,1752.0,566.0,14.209094321049482,4.590380927918954,0.48,-0.83,15.15,-23.33,3.0573618612469966,-0.26288258346706583
3.833,1754.0,562.5,14.225314748356617,4.561995180131469,0.98,-1.6,14.85,-11.21,3.0486114575117584,-0.26821451105726124
3.866,1758.0,556.0,14.257755602970883,4.509278791383284,1.47,-1.97,12.94,-1.76,3.0396835055352343,-0.27371790045642286
3.899,1764.0,548.0,14.306416884892288,4.4443970821547465,1.91,-2.03,16.67,-1.82,3.0305722778595214,-0.27939273939247655
3.933,1772.0,539.5,14.371298594120825,4.375460266099426,2.46,-2.09,14.85,-3.64,3.021272047026716,-0.28523901559334885
3.966,1782.0,531.0,14.452400730656494,4.306523450044107,2.95,-2.21,11.47,8.82,3.0117770855789154,-0.29125671678696563
3.999,1794.0,522.0,14.549723294499298,4.233531527162003,3.34,-1.91,25.45,9.39,3.0020816660582166,-0.29744583070125347
4.033,1808.0,514.0,14.663266285649238,4.168649817933467,4.18,-1.6,14.85,11.21,2.9921800610067164,-0.3038063450641381
4.066,1825.0,507.5,14.801139917759878,4.115933429185281,4.67,-1.23,-11.18,8.24,2.982066542966512,-0.3103382476035458
4.099,1844.0,502.5,14.955233977177652,4.0753823609174455,4.29,-0.95,-10.91,36.36,2.9717353844797003,-0.317041526047403
4.133,1862.0,498.5,15.10121782294186,4.042941506303178,3.93,0.25,30.0,3.64,2.961180858088378,-0.3239161681236355
4.166,1878.0,499.5,15.230981241398933,4.051051719956744,4.92,0.37,-25.29,17.06,2.9503972363346422,-0.3309621615601695
4.199,1898.0,501.0,15.393185514470272,4.063217040437095,4.06,0.95,3.64,0.91,2.93937879176059,-0.33817949408493136
4.233,1915.0,505.0,15.531059146580912,4.095657895051364,4.18,0.98,-22.42,22.42,2.9281197969083186,-0.3455681534258473
4.266,1932.0,509.0,15.668932778691552,4.128098749665631,3.44,1.72,-2.94,-1.47,2.916614524319924,-0.3531281273108432
4.299,1946.0,516.0,15.782475769841492,4.184870245240601,3.34,1.67,-19.39,12.73,2.904857246537504,-0.3608594034678457
4.333,1960.0,523.0,15.89601876099143,4.24164174081557,2.7,2.09,-14.85,11.21,2.8928422361031556,-0.36876196962478025
4.366,1971.0,531.5,15.985231111180669,4.31057855687089,2.21,2.46,-15.88,-23.24,2.880563765558975,-0.37683581350957357
4.399,1980.0,541.5,16.05822303406277,4.391680693406561,1.67,1.67,-13.33,9.09,2.86801610744706,-0.38508092285015194
4.433,1987.0,548.5,16.11499452963774,4.4484521889815305,1.23,1.97,-7.58,-22.42,2.8551935343095076,-0.3934972853744409
4.466,1992.0,556.5,16.155545597905576,4.513333898210067,0.98,1.23,-14.71,5.88,2.842090318688414,-0.4020848888103671
4.499,1996.0,561.5,16.187986452519844,4.553884966477902,0.48,1.43,7.88,-17.27,2.8287007331258764,-0.41084372088585686
4.533,1998.0,567.5,16.204206879826977,4.602546248399304,0.74,0.86,-30.0,-18.48,2.815019050163992,-0.4197737693288357
4.566,2001.0,571.0,16.22853752078768,4.630931996186789,-0.25,0.25,7.35,-10.88,2.8010395423448577,-0.42887502186723025
