energia_cinetica_traslacion,energia_cinetica_rotacion,energia_cinetica_total,trabajo_traslacion_instantaneo,trabajo_rotacion_instantaneo,trabajo_total_instantaneo,potencia_traslacion,potencia_rotacion,potencia_total
106.88,0.64,107.52,-0.94,-0.02,-0.94,0.24,0.0,0.25
105.94,0.63,106.57,-0.93,-0.02,-0.94,0.24,0.0,0.25
105.01,0.63,105.64,-0.92,-0.02,-0.93,0.23,0.0,0.25
104.09,0.62,104.71,-0.91,-0.02,-0.92,0.23,0.0,0.25
103.17,0.62,103.79,-0.91,-0.02,-0.91,0.23,0.0,0.24
102.26,0.61,102.88,-0.9,-0.02,-0.9,0.23,0.0,0.24
101.37,0.61,101.97,-0.89,-0.02,-0.89,0.23,0.0,0.24
100.47,0.6,101.08,-0.88,-0.02,-0.89,0.23,0.0,0.24
99.59,0.6,100.19,-0.88,-0.02,-0.88,0.23,0.0,0.24
98.71,0.59,99.3,-0.87,-0.02,-0.87,0.22,0.0,0.24
97.85,0.58,98.43,-0.86,-0.02,-0.86,0.22,0.0,0.24
96.98,0.58,97.56,-0.85,-0.02,-0.85,0.22,0.0,0.24
96.13,0.57,96.7,-0.85,-0.02,-0.85,0.22,0.0,0.24
95.28,0.57,95.85,-0.84,-0.02,-0.84,0.22,0.0,0.23
94.45,0.56,95.01,-0.83,-0.02,-0.83,0.22,0.0,0.23
93.61,0.56,94.17,-0.82,-0.02,-0.82,0.22,0.0,0.23
92.79,0.55,93.34,-0.82,-0.02,-0.81,0.21,0.0,0.23
91.97,0.55,92.52,-0.81,-0.02,-0.81,0.21,0.0,0.23
91.16,0.54,91.7,-0.8,-0.02,-0.8,0.21,0.0,0.23
90.36,0.54,90.9,-0.8,-0.02,-0.79,0.21,0.0,0.23
89.56,0.53,90.1,-0.79,-0.02,-0.78,0.21,0.0,0.23
88.77,0.53,89.3,-0.78,-0.02,-0.78,0.21,0.0,0.23
87.99,0.52,88.51,-0.77,-0.02,-0.77,0.21,0.0,0.23
87.22,0.52,87.73,-0.77,-0.02,-0.76,0.2,0.0,0.23
86.45,0.51,86.96,-0.76,-0.02,-0.75,0.2,0.0,0.22
85.69,0.51,86.19,-0.75,-0.02,-0.75,0.2,0.0,0.22
84.94,0.5,85.44,-0.75,-0.02,-0.74,0.2,0.0,0.22
84.19,0.49,84.68,-0.74,-0.02,-0.73,0.2,0.0,0.22
83.45,0.49,83.94,-0.73,-0.02,-0.72,0.2,0.0,0.22
82.71,0.48,83.2,-0.73,-0.02,-0.72,0.2,0.0,0.22
81.99,0.48,82.46,-0.72,-0.02,-0.71,0.19,0.0,0.22
81.27,0.47,81.74,-0.71,-0.02,-0.7,0.19,0.0,0.22
80.55,0.47,81.02,-0.71,-0.02,-0.69,0.19,0.0,0.22
79.84,0.46,80.31,-0.7,-0.02,-0.69,0.19,0.0,0.22
79.14,0.46,79.6,-0.69,-0.02,-0.68,0.19,0.0,0.22
78.45,0.45,78.9,-0.69,-0.02,-0.67,0.19,0.0,0.22
77.76,0.45,78.21,-0.68,-0.02,-0.66,0.19,0.0,0.21
77.08,0.44,77.52,-0.68,-0.02,-0.66,0.19,0.0,0.21
76.4,0.44,76.84,-0.67,-0.02,-0.65,0.18,0.0,0.21
75.73,0.43,76.16,-0.66,-0.02,-0.64,0.18,0.0,0.21
75.07,0.43,75.49,-0.66,-0.02,-0.64,0.18,0.0,0.21
74.41,0.42,74.83,-0.65,-0.02,-0.63,0.18,0.0,0.21
73.76,0.42,74.18,-0.65,-0.02,-0.62,0.18,0.0,0.21
73.11,0.41,73.52,-0.64,-0.02,-0.61,0.18,0.0,0.21
72.47,0.41,72.88,-0.63,-0.02,-0.61,0.18,0.0,0.21
71.84,0.4,72.24,-0.63,-0.02,-0.6,0.18,0.0,0.21
71.21,0.4,71.61,-0.62,-0.02,-0.59,0.17,0.0,0.21
70.59,0.39,70.98,-0.62,-0.02,-0.59,0.17,0.0,0.21
69.98,0.39,70.36,-0.61,-0.02,-0.58,0.17,0.0,0.21
69.37,0.38,69.75,-0.6,-0.02,-0.57,17.97,0.0,0.21
68.76,0.38,69.14,0.0,-0.02,-0.57,17.97,0.0,0.21
68.76,0.37,69.13,0.0,-0.02,-0.57,17.97,0.0,0.21
